text,in_reply,quoted_text,is_sarcastic
@Robertaandradee @ulissesjlucas Aleluia!!! Dinheiro para ser distribuído aos pobres!!! #sqn 🙄😔😳,"Sério? Igreja Universal

Aleluia papai 😂🙏 https://t.co/jt5esKPY6w",,1
"@belemtransito Não acredito no que estou vendo. Impossível, visto que a @SeMOB_Bel afirma que faz fiscalização intensiva nas garagens. #sqn.","Condição do pneu do ônibus da Nova Marambaia. Estava circulando normalmente hoje de manhã, na avenida José Malcher com Generalíssimo Deodoro, local do vídeo. Algum expert em pneus poderia nos dizer se isso é normal? https://t.co/K4x6RTOGye",,1
"@SenaKarol_ Sempre com as melhores pessoas 😕

#sqn",@euwalberbispo acontece né kakakajjajsjsjjs,,1
"Cena de filme que retrata a realidade.
Na cabecinha e pow, para não ter erro. Para a esquerda, o policial deve jogar livros e rosas... 
#SQN https://t.co/lKiCLztJBG",,,1
"O IntercePT conseguiu o impossível no Brasil, fazer o povo aplaudir um ministro da Suprema Corte.😅 Operação Joesley 2.0 versão 2019 voando e dando super certo.👌 #SQN https://t.co/IPB1083b9T",,Luiz Fux foi aplaudido por passageiros no voo que pegou hoje de manhã de Brasília para o Rio. https://t.co/qlFZzvDedX,1
Éder com claros problemas de domínio de bola aos 62. #sqn https://t.co/e3HBXhWr8H,,,1
"@reinaldoazevedo @RaulSilvestre @radiobandnewsfm O Moro é tão maquiavélico, que montou uma mega operação com mais de 60 fases, com desdobramentos em 17 países de três continentes, recuperou mais de 13 bi, só pra prender o Lula. #sqn #liporai","A nota de resposta da Lava Jato não explica nada e ainda contesta o que não afirmei. A diversão e a informação continuam neste fim de tarde n’O É da Coisa, na @radiobandnewsfm, a partir das 18h",,1
@LynaBrasil 🤣🤣🤣🤣🤣 Como são amados pelo povo! #sqn,A campanha está a todo Vapor”Faça um político corrupto passar vergonha” https://t.co/3GphfV97za,,1
@jailson_jdr @parmeramilgrau E vc é o famoso quem????! Vai lá assistir a seleção do Tite! Ali vc vai encontrar um espetáculo de futebol ⚽️ #sqn,"@parmeramilgrau Sempre acompanho o futebol do Palmeiras, não vejo nada de mais no futebol jogado pelo Palmeiras, nada de ""nossa meu Deus que futebol lindo"", o que tem acontecido é bastante sorte.",,1
@demori @reinaldoazevedo Depois dessa o Molusco Nine Fingers deixou de ser bandido... #sqn,"Moro mentiu ao senado, Deltan e MPF ""desmentem"" em uma nota algo que nem nós e nem ⁦@reinaldoazevedo⁩ afirmamos, o Jornal Nacional compra uma narrativa escondendo o principal. Tá explicadinho aqui. Não adianta se esconderem, nós temos os fatos. https://t.co/tZTxdrCRmS",,1
Mais um dia acordando no chão. Obrigado @CasasBahia e seu excelentíssimo serviço #SQN,,,1
A penalidade para a Ferrari do Vettel foi culpada pelo desempenho dele nesse qualifing. #F1noSporTV #SQN,,,1
@Haddad_Fernando Melhor prefeito de SP. #SQN,Por que mandar apagar uma mensagem que não tem nada de mais?,,1
"Aquela dor de cabeça ""gostosa"" de ressaca. #sqn",,,1
@JosuLim03645816 Parabéns. Seu Deus é puro amor! #SQN,Esse foi um dos motivos por eu ter votado  no BOLSONARO 👉👉👉🇧🇷🇧🇷🇧🇷 #ArmasPelaVida https://t.co/khYiNvZpgi,,1
